"id","region","hemisphere","region2","voisize","idxregion","dreadd","tracer","day","value","deltaBP","deltaBPpeak","ratio","diffBP","serotype","serotype2","promoter","promoter2","dreadd.1","tag","IRES2A","tag2","DayFromLast","CumulativeActivation","JustAfterActivation","vector","titer","genome","age","sex","seropro","species","year","period","serotype3","lastPET"
"241j","L_Put","L","Put","small","241j_L_Put","hM3Dq","DCZ",176,1.312675178,0.995801199,1.172613447,84.9,-0.176812249,"AAV1","AAV1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",47,2,NA,"AAV1-hSyn-hM3Dq-IRES-AcGFP",2,6,3.9,"male","AAV1-Syn","japanese",0.48186173853525,0.5,"other",0.980150581793292
"241j","L_Put","L","Put","small","241j_L_Put","hM3Dq","DCZ",358,1.3464158,1.029541821,1.172613447,87.8,-0.143071627,"AAV1","AAV1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",176,3,"1","AAV1-hSyn-hM3Dq-IRES-AcGFP",2,6,4.4,"male","AAV1-Syn","japanese",0.980150581793292,1,"other",0.980150581793292
"241j","L_Cd","L","Cd","small","241j_L_Cd","hM3Dq","DCZ",64,2.130993027,1.966404109,1.966404109,100,0,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",0,0,"NA","AAV2-hSyn-hM3Dq",2,6,3.6,"male","AAV2-Syn","japanese",0.175222450376454,0.22,"other",0.980150581793292
"241j","L_Cd","L","Cd","small","241j_L_Cd","hM3Dq","DCZ",120,1.333732952,1.169144034,1.966404109,59.5,-0.797260075,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",48,1,"1","AAV2-hSyn-hM3Dq",2,6,3.8,"male","AAV2-Syn","japanese",0.328542094455852,0.5,"other",0.980150581793292
"241j","L_Cd","L","Cd","small","241j_L_Cd","hM3Dq","DCZ",143,1.533867479,1.369278561,1.966404109,69.6,-0.597125548,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",14,2,"1","AAV2-hSyn-hM3Dq",2,6,3.9,"male","AAV2-Syn","japanese",0.39151266255989,0.5,"other",0.980150581793292
"241j","L_Cd","L","Cd","small","241j_L_Cd","hM3Dq","DCZ",176,1.297188878,1.13259996,1.966404109,57.6,-0.833804149,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",47,2,NA,"AAV2-hSyn-hM3Dq",2,6,3.9,"male","AAV2-Syn","japanese",0.48186173853525,0.5,"other",0.980150581793292
"241j","L_Cd","L","Cd","small","241j_L_Cd","hM3Dq","DCZ",358,1.823345527,1.658756609,1.966404109,84.4,-0.3076475,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",176,3,"1","AAV2-hSyn-hM3Dq",2,6,4.4,"male","AAV2-Syn","japanese",0.980150581793292,1,"other",0.980150581793292
"241j","R_Put","R","Put","small","241j_R_Put","hM3Dq","DCZ",64,1.504211688,1.206198112,1.206198113,100,0,"AAV2.1","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",0,0,"NA","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,6,3.6,"male","AAV2.1-Syn","japanese",0.175222450376454,0.22,"AAV2.1",0.980150581793292
"241j","R_Put","R","Put","small","241j_R_Put","hM3Dq","DCZ",120,1.146625451,0.848611875,1.206198113,70.4,-0.357586237,"AAV2.1","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",48,1,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,6,3.8,"male","AAV2.1-Syn","japanese",0.328542094455852,0.5,"AAV2.1",0.980150581793292
"241j","R_Put","R","Put","small","241j_R_Put","hM3Dq","DCZ",143,1.379151293,1.081137717,1.206198113,89.6,-0.125060395,"AAV2.1","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",14,2,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,6,3.9,"male","AAV2.1-Syn","japanese",0.39151266255989,0.5,"AAV2.1",0.980150581793292
"241j","R_Put","R","Put","small","241j_R_Put","hM3Dq","DCZ",176,1.594743112,1.296729536,1.206198113,107.5,0.0905314239999999,"AAV2.1","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",47,2,NA,"AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,6,3.9,"male","AAV2.1-Syn","japanese",0.48186173853525,0.5,"AAV2.1",0.980150581793292
"241j","R_Put","R","Put","small","241j_R_Put","hM3Dq","DCZ",358,1.726199897,1.428186321,1.206198113,118.4,0.221988209,"AAV2.1","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",176,3,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,6,4.4,"male","AAV2.1-Syn","japanese",0.980150581793292,1,"AAV2.1",0.980150581793292
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",44,2.741473955,2.741473955,2.741473955,100,0,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",0,0,"NA","AAV2-hSyn-hM3Dq",1.8,5.4,4.8,"male","AAV2-Syn","cynomolgus",0.120465434633812,0.22,"other",1.8425735797399
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",115,1.186869198,1.186869198,2.741473955,43.3,-1.554604757,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",0,0,"NA","AAV2-hSyn-hM3Dq",1.8,5.4,5,"male","AAV2-Syn","cynomolgus",0.314852840520192,0.5,"other",1.8425735797399
"255c","R_VPL","R","VPL","small","255c_R_VPL","hM3Dq","DCZ",134,1.205146071,1.205146071,2.741473955,44,-1.536327884,"AAV2","AAV2","hSynI","hSyn","hM3Dq","none","none","none",12,1,"1","AAV2-hSyn-hM3Dq",1.8,5.4,5,"male","AAV2-Syn","cynomolgus",0.366872005475702,0.5,"other",1.8425735797399
